标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,读空间大小,平均读IO大小,写空间范围,写空间大小,平均写IO大小,Pea_RB_WB(h),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hm_0,192MB,3993316,439187,11.00%,1417748,2575568,64.50%,17.27KB/s,35.5KB/s,0.0~13.94GB,1.85GB,,0.0~13.94GB,1.631GB,,,0.238643,-0.61645,,,,,,0.352553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hm_1,28MB,609311,7277,1.19%,580896,28415,4.66%,14.56KB/s,0.95KB/s,0.0~25.44GB,0.15GB,,0.0~25.44GB,0.109GB,,,0.576588,0.016179,,,,,,0.395612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dada
mds_0,60MB,1211034,115582,9.54%,143973,1067061,88.11%,5.64KB/s,12.77KB/s,0.0~33.92GB,2.901GB,,0.0~33.91GB,0.331GB,,,-0.025593,-0.909407,,,,,,0.324484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mds_1,84MB,1637711,1496101,91.35%,1521035,116676,7.12%,152.3KB/s,2.69KB/s,0.0~474.83GB,83.834GB,,0.0~474.84GB,0.593GB,,,-0.012765,0.351771,,,,,,0.452536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prn_0,278MB,5585886,711385,12.74%,602480,4983406,89.21%,22.75KB/s,79.69KB/s,0.0~66.32GB,3.73GB,,0.0~66.32GB,12.386GB,,,-0.150767,-0.784067,,,,,,0.268667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prn_1,569MB,11233411,2173575,19.35%,8463801,2769610,24.66%,314.42KB/s,53.37KB/s,0.0~385.18GB,73.785GB,,0.0~385.18GB,11.523GB,,,0.032563,-0.228616,,,,,,0.40835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proj_0,222MB,4224524,286228,6.78%,527381,3697143,87.52%,15.55KB/s,250.12KB/s,0.0~16.24GB,1.744GB,,0.0~16.24GB,1.653GB,,,-0.03208,0.436627,,,,,,0.308071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proj_1,1.22GB,23639742,15452001,65.36%,21142807,2496935,10.56%,1300.94KB/s,44.34KB/s,0.0~820.37GB,693.592GB,,0.0~820.36GB,9.032GB,,,-0.083364,-0.304254,,,,,,0.227781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proj_2,1.5GB,29266482,16180242,55.29%,25641604,3624878,12.39%,1763.24KB/s,292.76KB/s,0.0~816.17GB,409.371GB,,0.0~816.21GB,155.139GB,,,0.030839,-0.184829,,,,,,0.186104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proj_3,114MB,2244644,498141,22.19%,2128303,116341,5.18%,31.62KB/s,4.55KB/s,0.0~220.4GB,5.255GB,,0.0~220.4GB,1.893GB,,,0.510203,-0.043058,,,,,,0.050821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proj_4,333MB,6465639,3002525,46.44%,6369774,95865,1.48%,249.09KB/s,1.75KB/s,0.0~220.45GB,123.175GB,,0.0~218.62GB,0.221GB,,,0.059147,0.407059,,,,,,0.114378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prxy_0,628MB,12518968,155681,1.24%,383524,12135444,96.94%,5.3KB/s,93.57KB/s,0.0~20.71GB,0.3GB,,0.0~20.71GB,0.706GB,,,0.725878,0.29751,,,,,,0.118998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prxy_1,8.42GB,168638964,390226,0.23%,110414460,58224504,34.53%,2250.57KB/s,1260.62KB/s,0.0~67.83GB,1.639GB,,0.0~67.83GB,12.772GB,,,-0.381761,-0.682846,,,,,,0.294631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
