标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_0,517MB,13934482,4739943,34.02%,133631,13800851,99.04%,0.69KB/s,360.79KB/s,0.01~489.92GB,0.01~489.92GB,0.723GB,0.387GB,0.0~490.0GB,448.486GB,0.079832,-0.08699,-0.968189,43.7/33.9/20.1/2.4/0.0/0.0%,68.3/8.2/4.4/7.3/11.8/0.0%,0.507,0,,0.586665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_1,815MB,22462800,1645508,7.33%,16170,22446630,99.93%,0.2KB/s,53.01KB/s,0.01~40.31GB,0.01~40.31GB,0.259GB,0.034GB,0.0~40.19GB,7.541GB,0.276926,None,-0.666682,47.6/26.2/15.7/6.9/3.5/0.0%,87.3/9.1/2.8/0.9/0.0/0.0%,0.539,0.388,,0.506552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_2,933MB,25735856,1606584,6.24%,5355746,20380110,79.19%,40.8KB/s,100.77KB/s,0.0~27.88GB,0.0~27.88GB,7.554GB,2.639GB,0.0~27.93GB,9.456GB,0.423021,0.675093,0.537815,51.9/14.7/30.0/1.8/1.6/0.0%,49.5/39.1/8.3/2.8/0.2/0.0%,0.861,0.889,,0.436384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_3,860MB,23965494,3159466,13.18%,12500178,11465316,47.84%,38.96KB/s,189.53KB/s,0.0~80.0GB,0.0~80.0GB,14.451GB,11.435GB,0.0~80.0GB,3.63GB,0.113035,0.020142,0.311384,96.5/0.5/1.2/0.9/1.0/0.0%,64.9/12.9/5.5/12.4/4.3/0.0%,0.751,0.984,,0.301915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_4,56.34GB,1576134095,49831692,3.16%,1484549,1574649546,99.91%,9.36KB/s,2913.79KB/s,0.0~499.88GB,0.0~499.88GB,4.976GB,0.775GB,0.0~500.0GB,346.876GB,0.250984,-0.010143,-0.053554,79.8/10.7/6.5/1.4/1.6/0.0%,90.7/9.0/0.2/0.0/0.1/0.0%,0.875,0.727,,0.024856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_5,815MB,22478191,1685980,7.50%,20444,22457747,99.91%,0.24KB/s,53.33KB/s,0.01~40.34GB,0.01~40.34GB,0.338GB,0.048GB,0.0~40.25GB,8.131GB,0.19887,None,-0.632157,56.4/19.1/14.3/6.9/3.3/0.0%,87.3/9.1/2.6/1.0/0.0/0.0%,0.441,0.32,,0.506174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_6,592MB,16546620,1623257,9.81%,6388573,10158047,61.39%,21.7KB/s,142.91KB/s,0.0~23.47GB,0.0~23.47GB,7.158GB,5.651GB,0.0~20.38GB,4.261GB,0.0749,0.013265,0.529456,96.4/0.6/0.8/0.8/1.4/0.0%,68.0/12.1/6.3/10.1/3.5/0.0%,0.756,0.976,,0.380766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_7,9.53GB,265694431,4809046,1.81%,12276532,253417899,95.38%,80.7KB/s,809.34KB/s,0.0~407.62GB,0.0~407.62GB,25.926GB,14.094GB,0.0~444.54GB,26.16GB,0.487032,0.770231,-0.085096,73.9/16.2/5.8/2.4/1.7/0.0%,80.5/12.1/6.6/0.4/0.4/0.0%,0.749,0.736,,0.401669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_8,1.32GB,37490499,1499490,4.00%,2448105,35042394,93.47%,24.88KB/s,82.19KB/s,0.01~44.0GB,0.01~44.0GB,4.394GB,0.591GB,0.0~38.35GB,6.629GB,0.572269,-0.221799,-0.713963,37.6/28.2/21.3/12.8/0.0/0.0%,83.0/15.4/0.3/1.3/0.0/0.0%,0.946,0,,0.376375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_9,819MB,22682239,723301,3.19%,266671,22415568,98.82%,2.53KB/s,109.46KB/s,0.0~96.5GB,0.0~96.5GB,0.764GB,0.115GB,0.0~98.3GB,3.453GB,0.252856,0.79916,-0.318334,52.5/23.0/14.0/9.1/1.3/0.0%,62.3/33.6/1.1/2.0/1.1/0.0%,0.893,0.588,,0.531233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
