标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R(暂时出错),Pea_WB_W(暂时出错),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1058,179MB,6401647,92631,1.45%,262702,6138945,95.90%,5.0KB/s,1287.26KB/s,0.0~26.0GB,,0.129GB,,0.0~26.0GB,0.491GB,,None,0.954041,0.016131,0.925538,,,,,,0.688345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1063,8.65GB,309457959,1129050,0.36%,235825396,73632563,23.79%,13343.69KB/s,16510.85KB/s,0.0~27.7GB,,4.364GB,,0.0~27.71GB,5.537GB,,0.042229,0.710544,0.71885,0.656485,,,,,,0.628688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1069,594MB,21424858,2188208,10.21%,5522,21419336,99.97%,0.19KB/s,212.8KB/s,0.0~45.84GB,,0.018GB,,0.0~45.84GB,8.786GB,,None,0.35792,0.689639,-0.690648,,,,,,0.079297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dada
VM_1073,77MB,2775165,328968,11.85%,89527,2685638,96.77%,8.14KB/s,31.89KB/s,0.0~50.62GB,,0.152GB,,0.0~50.63GB,1.903GB,,None,None,0.670152,0.288543,,,,,,0.519422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1082,47MB,1743227,146940,8.43%,32253,1710974,98.15%,0.4KB/s,30.54KB/s,0.13~25.98GB,,0.09GB,,0.0~26.0GB,0.611GB,,None,None,-0.02242,0.716366,,,,,,0.362409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1084,1.49GB,53853241,649088,1.21%,47503296,6349945,11.79%,1456.88KB/s,567.14KB/s,0.0~52.0GB,,4.997GB,,0.0~52.0GB,6.476GB,,0.467104,0.780616,0.792112,0.758933,,,,,,0.364907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1089,40MB,1491691,181242,12.15%,715,1490976,99.95%,0.05KB/s,20.37KB/s,0.0~26.0GB,,0.003GB,,0.0~26.0GB,0.751GB,,None,None,-0.59065,-0.324157,,,,,,0.311746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1092,33MB,1238010,210338,16.99%,57387,1180623,95.36%,5.73KB/s,22.52KB/s,0.0~27.61GB,,0.076GB,,0.0~27.75GB,2.419GB,,None,None,0.604426,-0.628004,,,,,,0.41187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1099,97MB,3536636,444785,12.58%,337954,3198682,90.44%,26.79KB/s,37.12KB/s,0.01~52.0GB,,1.832GB,,0.0~52.0GB,1.964GB,,None,None,-0.522538,-0.216954,,,,,,0.568022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1108,214MB,7850447,613295,7.81%,3180740,4669707,59.48%,122.74KB/s,235.14KB/s,0.0~5.24GB,,2.849GB,,0.0~5.28GB,3.696GB,,None,0.317401,0.738772,0.166041,,,,,,0.623453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
